,Price,Load forecast,Generation forecast,Prévision J-1 Solaire,Prévision J-1 Eolien
2021-05-20 00:00:00,3083.0,71.67,49300.0,0.0,0.0
2021-05-20 01:00:00,2949.0,61.67,46250.0,0.0,0.0
2021-05-20 02:00:00,2819.0,61.9,45700.0,0.0,0.0
2021-05-20 03:00:00,2692.0,59.95,43300.0,0.0,0.0
2021-05-20 04:00:00,2411.0,58.7,42550.0,0.0,0.0
2021-05-20 05:00:00,2130.0,65.79,43800.0,0.0,0.0
2021-05-20 06:00:00,1851.0,79.91,47000.0,0.0,0.0
2021-05-20 07:00:00,1686.0,90.23,52700.0,0.0,0.0
2021-05-20 08:00:00,1521.0,94.9,55650.0,0.0,276.0
2021-05-20 09:00:00,1359.0,84.99,56400.0,0.0,1191.0
2021-05-20 10:00:00,1601.0,72.0,55700.0,0.0,2705.0
2021-05-20 11:00:00,1848.0,66.19,54900.0,0.0,4203.0
2021-05-20 12:00:00,2102.0,59.36,54450.0,0.0,5502.0
2021-05-20 13:00:00,2869.0,56.0,53800.0,0.0,6349.0
2021-05-20 14:00:00,3637.0,54.07,51850.0,0.0,6968.0
2021-05-20 15:00:00,4408.0,55.95,50050.0,0.0,7047.0
2021-05-20 16:00:00,4913.0,57.2,48300.0,0.0,6713.0
2021-05-20 17:00:00,5425.0,59.84,46800.0,0.0,5983.0
2021-05-20 18:00:00,5936.0,74.74,47950.0,0.0,4966.0
2021-05-20 19:00:00,5537.0,82.17,50250.0,0.0,3599.0
2021-05-20 20:00:00,5139.0,82.14,48300.0,0.0,2070.0
2021-05-20 21:00:00,4742.0,78.97,46500.0,0.0,816.0
2021-05-20 22:00:00,5223.0,76.96,47200.0,0.0,89.0
2021-05-20 23:00:00,5704.0,58.93,49550.0,0.0,0.0
2021-05-21 00:00:00,7198.0,37.24,47100.0,56816.0,0.0
2021-05-21 01:00:00,7310.0,22.9,44000.0,54926.0,0.0
2021-05-21 02:00:00,7423.0,14.29,43050.0,53228.0,0.0
2021-05-21 03:00:00,7538.0,7.83,40500.0,51830.0,0.0
2021-05-21 04:00:00,7557.0,7.08,39350.0,51840.0,0.0
2021-05-21 05:00:00,7577.0,16.69,40450.0,53524.0,0.0
2021-05-21 06:00:00,7599.0,33.52,43300.0,56758.0,0.0
2021-05-21 07:00:00,7609.0,65.0,47900.0,59468.0,0.0
2021-05-21 08:00:00,7619.0,66.22,51100.0,61302.0,244.0
2021-05-21 09:00:00,7628.0,53.41,52500.0,62448.0,1049.0
2021-05-21 10:00:00,8412.0,37.57,51950.0,62626.0,2295.0
2021-05-21 11:00:00,9197.0,22.45,51750.0,61829.0,3622.0
2021-05-21 12:00:00,9983.0,14.37,52150.0,61589.0,4588.0
2021-05-21 13:00:00,10606.0,4.51,52150.0,59704.0,4918.0
2021-05-21 14:00:00,11229.0,0.06,50500.0,59232.0,5004.0
2021-05-21 15:00:00,11852.0,0.05,48700.0,58291.0,4706.0
2021-05-21 16:00:00,11885.0,2.33,47100.0,57302.0,4395.0
2021-05-21 17:00:00,11917.0,16.01,46050.0,60793.0,4136.0
2021-05-21 18:00:00,11948.0,29.78,46900.0,62726.0,3597.0
2021-05-21 19:00:00,11618.0,40.42,48250.0,61829.0,2722.0
2021-05-21 20:00:00,11289.0,40.05,46550.0,60198.0,1716.0
2021-05-21 21:00:00,10960.0,43.69,45600.0,59745.0,698.0
2021-05-21 22:00:00,10697.0,55.1,46600.0,59941.0,97.0
2021-05-21 23:00:00,10434.0,42.69,49450.0,59126.0,0.0
2021-05-22 00:00:00,9202.0,20.04,47150.0,54219.0,0.0
2021-05-22 01:00:00,9592.0,4.07,44050.0,50596.0,0.0
2021-05-22 02:00:00,9977.0,0.89,42250.0,48829.0,0.0
2021-05-22 03:00:00,10364.0,0.03,39450.0,47986.0,0.0
2021-05-22 04:00:00,10276.0,-0.05,38200.0,48824.0,0.0
2021-05-22 05:00:00,10188.0,-0.54,38050.0,48587.0,0.0
2021-05-22 06:00:00,10101.0,-0.26,38400.0,48347.0,0.0
2021-05-22 07:00:00,9874.0,0.01,40000.0,49115.0,0.0
2021-05-22 08:00:00,9648.0,0.74,42150.0,50317.0,261.0
2021-05-22 09:00:00,9422.0,10.1,44450.0,52490.0,1066.0
2021-05-22 10:00:00,9498.0,3.74,45400.0,53705.0,2397.0
2021-05-22 11:00:00,9573.0,4.78,45750.0,54844.0,3742.0
2021-05-22 12:00:00,9648.0,14.78,46600.0,55673.0,4715.0
2021-05-22 13:00:00,9657.0,11.46,46750.0,54525.0,5293.0
2021-05-22 14:00:00,9666.0,0.08,44450.0,52726.0,5505.0
2021-05-22 15:00:00,9675.0,0.04,42800.0,51516.0,5339.0
2021-05-22 16:00:00,9132.0,0.03,41600.0,50981.0,5183.0
2021-05-22 17:00:00,8590.0,7.29,41100.0,51647.0,4375.0
2021-05-22 18:00:00,8048.0,38.63,42550.0,54228.0,3739.0
2021-05-22 19:00:00,7109.0,60.02,44450.0,54663.0,2766.0
2021-05-22 20:00:00,6170.0,61.15,43850.0,55159.0,1687.0
2021-05-22 21:00:00,5233.0,58.62,43300.0,55171.0,693.0
